Asset Name,Asset Category,Asset Description,Industry,Domain,Value Delivered/Key KPIs,Tech/AI/Core Capabilities,Number of projects,Clients Live with,Key Accounts/Clients,Client Feedback/Success Stories,Project PPMDs,Asset Lead,Positive Client Feedback Percentage,Keyword tagging,Image tagging,IMO Category,Buyer Types,Outcome,Gift Baskets
Digital Clinician,Solution,"Digital Clinician offers Artificial Intelligence algorithms find & highlight relevant information in clinical documentation, utilize clinical context / criteria to call out key pieces of the records, and identify the type of document & encounter date on each page of the record (table of contents). It offers a single-location view of all clinically relevant information through a purpose-built UI to streamline reviews. The goal of the Digital Clinician tool is to streamline the receipt and processing of medical records required for medical necessity review by guiding users to the most relevant information.",Healthcare,Health Plan - CM/UM,"Reduced TAT of Pre Auth Review, Improve accuracy of pre-auth approvals.","AI, NLP, OCR, Document type identification and classification of a clinical record, service and date extraction, relevant clinical information surfacing and highlighting. ntent matching and highlightingExtracts service or encounter dates, Retrieves, displays and highlights specific content within clinical record that matches applicable clinical guideline (ex. MCG, CMS) or medical policy text",2,1,"Anthem, Humana",TBD,Art Fitts,Balaji Ramdoss,TBD,"PA, pre-auth, pre auth, pre-authorization, pre authorization, pre auth approval, pre-auth approval, pre-authorization approval, pre authorization approval, auto approval, reduced TAT, pre authorization decision making, PA decisioning, Prior authorization decisioning, Prior auth decisioning, Prior-auth decisioning information surfacing, clinical information, smart nurse asisstant, NLP, AI, ML, Artificial Intelligence, extraction, claims, claims management, health plan, plan, CM",Digital Clinician.png,"HC Operation Modernization, Care Delivery Transformation, Data and AI",Operational Executive,Optimize Supply & Service Costs,"Digital Technology Optimization,Operating Model Alignment,Patient Experience Improvement,AI Insights & Engagement"
Smart Um,Solution,"Deloitte and Google have partnered on a solution that uses the latest interoperability standards (FHIR Da Vinci, CDS Hooks) to make prior authorization necessity clear to provider staff, and machine learning to automate prior authorization decisioning for plans, accelerating response times and reducing administrative burden. Deloitte’s Smart UM is able to improve experiences and reduce administrative burden by - Increasing awareness of PA necessity, Reduce submission errors & timeliness, Empowering physicians & members to have conversations on care, coverage, & costs, Integrating with Plan PA Decisioning Methodologies
",Healthcare,Health Plan - CM/UM,"80% reduction in cases sent for manual review, 5-10% reduction in plan administrative expense, 30 - 50% reduction in auth related call center volume, 25% decrease in medical costs for ‘steered’ care. ","FHIR Da Vinci, CDS Hooks",2,1,"Anthem, Humana",TBD,Dhiman Lahiri,Rohit Taneja,TBD,"Claims, claims management, PA neccessity, PA, pre-auth, pre auth, pre-authorization, pre authorization, pre auth approval, pre-auth approval, pre-authorization approval, pre authorization approval, auto approval, PA decisioning, Prior authorization decisioning, Prior auth decisioning, Prior-auth decisioning, utilization management, UM, CM, health plan, plan, Interoperatability, ML, response time, manual review, submission errors, PA errors, FHIR, AI, ML, Artificial Intelligence, machine learning",Smart UM.jpg,"Care Delivery Transformation, Data and AI",Operational Executive,Optimize Supply & Service Costs,"Digital Technology Optimization,Operating Model Alignment,Patient Experience Improvement,AI Insights & Engagement"
Digital Examiner,Solution,"Deloitte’s Digital Examiner is a machine learning based Claims examiner, which observes, learns and mimics human claims examiners and allows an automated ability to pay, reject or adjust any claim. Digital Examiner can capture combinations of examiner actions and decisions made during manual claim processing, build decision matrices using AI to predict claims outcomes and apply model predicted outcomes to claim using cognitive agents and automation tools. Digital examiner was projected to reduce manual effort by 50% in 12 months, resulting in $35M+ savings per year at one of our clients with the potential for increased savings from planned migrations. ",Healthcare,Health Plan - Claims,"Projected decrease in manual processing by 50%, increase in auto-adjudication rate, decrease in claim adjustment rate, increase in overall claim processing accuracy, resulting in an operational savings of $35M per year.","Benefits Helper Model (which are capable of applying benefits on claims where required), UM Tagging Helper Models (Models are capable of tagging UM authorizations on claims where it is required), Other Helper Models (as more data is collected, additional helper models will be created)",1,1,Anthem,TBD,Art Fitts,Balaji Ramdoss,TBD,"Claims, claims examiner, cognitive agents, claims predictor, auto-adjudication rate, auto-adjudication, auto adjudication, migration planner, ML, Machine learning, AI, Artificial Intelligence, digital examiner, plan, health plan, adjust claim, pay claim, claim processing",Digital Examiner.jpg,"HC Operation Modernization, Care Delivery Transformation, Data and AI",Operational Executive,Optimize Supply & Service Costs,Digital Technology Optimization
High Dollar Claims,Solution,"There is a significant opportunity to apply AI methods to automate manual high dollar audits, leading to reductions in manual efforts while simultaneously increasing audit efficiency and accuracy. Deloitte’s High Dollar Claims solution automates the high dollar audit review for claims that have no adjudication issue, leaving only the truly complex high dollar claims for human review. High Dollar Claims recently implemented at a national health plan is projected to reduce manual effort by 35%, resulting in $3M labor savings per year with additional savings through reduced overpayment and prompt pay penalties.",Healthcare,Health Plan - Claims,"Reduce high claims operational costs, increase audit accuracy, reduce overpayment and prompy pay penalties.","Identify all data reviewed by auditors to determine if the claim has an adjudication issue​, utilize a predictive model to identify claims that do not have any adjudication issue and can be finalized without an audit review, Apply model predictions using a series of automation tools on live claims to automate audit with low risk of adjudication issue",1,1,Anthem,TBD,Art Fitts,Balaji Ramdoss,TBD,"AI, health plan, plan, Artificial Intelligence, automation, audit, audit review, high dollar audits, adjudication, over-payment, over payment, pay penalities, live claims automation, live claims, claims, high value claim, high value claims, manual audit",High Dollar Claims.png,"HC Operation Modernization, Care Delivery Transformation, Data and AI",Operational Executive,Optimize Supply & Service Costs,"Operating Model Alignment,Health System Operations Optimization"
Program Integrity – Pallium / Fwa Ai,Solution,"The FWA / Pallium AI/ML based models can be used to monitor program integrity and identify fraud, waste, and abuse to identify claims-based savings for healthcare payors. The model utilizes supervised and unsupervised learning to train models to identify patterns and separate data into different groups as well as forecast future actions. The model can identify the likelihood of a claim to be overpaid before the original claim goes out for payment, thereby reducing the cost of recovery. The model can also use sparse data estimation to identify unlikely charges. ",Healthcare,Health Plan - Claims,"Identified 1.2M claims and 610M of outlier non-retail drug spend per year resulting in $61M projected savings potential per year, Identified 33k claims and $54M in payments with potential upcoding per year resulting in $4M projected realizable savings per year.","Parrot Model / In-Sourcing Pre-Pay: Predict vendor results and outputs for claims flagged pre-pay, Upcoding: Identify patterns of low likelihood coding and claim data combinations raise a claims risk, Cost Overage: Identify suspects high treatment costs based on cumulative distribution of the range of cost, Drug dosage anomaly detection: Identify drug dosages that are outside expected ranges and may be inappropriate",TBD,TBD,TBD,TBD,Art Fitts,Art Fitts,TBD,"Pallium, FWA, AI, ML, Artificial Intelligence, Machine Learning, health plan, plan, integrity, fraud, claims risk, claims based saving, cost of recovery, drug dosage anomaly, cost coverage, claims, program integrity, claims payment, claim payment, claim, upcoding",Program Integrity.png,Data and AI,Financial Executive,Improve ROIC & ROA,"Operating Model Alignment,Health System Operations Optimization, AI Insights & Engagement, Data Modernization & Analytics"
Intelligent Secure Messaging,Solution,"Deloitte followed a two-pronged artificial intelligence driven approach to decrease manual effort: 1.Preemptive Communication: Using natural language processing, messages were categorized to form frequently asked questions, allowing for provider education to preemptively address the FAQs using available self-service tools and reduce the volume of future incoming  messages. 2.Intelligent Automated Responses: Using machine learning, models were created to read provider messages, predict message response, and reply to the providers without human interaction. Likely to Adjust: Predict if the claim associated for an incoming secure message will be adjusted, Likely to Re-inquire:  Predict if a provider is likely to re-inquire on an incoming secure message via secure message or other correspondence channel such as call center, mail, or fax, Rule Based Automation: Conduct NLP on the incoming provider questions to categorize under specific categories and automatically respond using pre-determined templates.",Healthcare,Health Plan - CM/UM,"Projected decrease of ~3% in incoming provider questions based on preemptive FAQ approach, projected decrease of ~9-12% in manual effort for secure messaging team through intelligent automated responses and improve accuracy and response time to provider messages, increasing provider satisfaction.","NLP, machine learning",TBD,TBD,TBD,TBD,Art Fitts,Balaji Ramdoss,TBD,"AI, ML, Artificial Intelligence, Machine Learning, health plan, plan, preemptive communication, intelligent automated responses, rule based automation, NLP, incoming provider questions, provider satisfaction, improved accuracy, improved response, provider messages, CM, UM, care management, utilization management, messaging, messages, plan, health plan, enquiry, re-enquiry, claims adjustment, communication, secure messaging, correspondence, provider correspondence, predict response, predict provider response, predict re-enquiry, predict reenquiry",Intelligent Secure Messaging.png,Data and AI,Financial Executive,Mitigate Compliance & Operational Risks,"Transformative Services, Operating Model Alignment"
Process Bionics,Productized Solution,"Center for Process Bionics disrupts the traditional approach to process mining and transformation using automated data driven approach, dynamic centralized platform and integrates Deloitte sector IP.",Cross Industry,Cross domain,"Improve Process Workflows, Optimization and Automation,Right-size and Re-distribute the Workforce, Streamline Performance Management and Inventory Reporting.","AI, NLP",7,1,"Anthem, Zimmer Biomet, Google, Walmart, Citi, Exelon, Oscar Health, HCA, State Street, Southern California Exelon, Frasenius",TBD,Robert Kaye,Country Thayer,TBD,"Process mining, automation, transformation, data driven platform, claims, improve process workflows, optimization, automation, performance management, inventory reporting, claims",Strategy Accelerator.png,Data and AI,Operational Executive,Optimize Supply & Service Costs,"AI Insights & Engagement,AI & Data Operations"
Labor Productivity Analytics,Solution,"A comprehensive analytic application developed to replace a legacy Huron tool. The solution curated data from several sources(ERP, EHR, Rev Cycle etc.)  including manually maintained spend sheets for roll-ups and ratios to compute work units. ",Healthcare,Provider - Operations,Monitor and drive productivity as well as influence FTE requests and recruitment efforts.,TBD,1,1,Hartford Healthcare,TBD,Dan Kinsella,Ashish Chhabra,TBD,"Analytics, analytics application, EPR, EHR, Rev cycle, RCM, Revenue cycle, productivity, increased productivity, FTE, recruitment, operations",Revenue Intellect.jpg,Data and AI,Operational Executive,Optimize Supply & Service Costs,AI & Data Operations
Spend Analytics,Solution,"Analytic application developed as part of the management intelligence platform to provide insights into spend for transparency as well as identify cost saving opportunities. Data is curated across several sources (ERP, EHR, benchmark, labs, pharmacy etc.) to provide a holistic view of the spend with rules and model driven methods for spend classification. ",Healthcare,Provider - Operations,"identify saving potentials based on usage, contract terms, benchmarks and tier pricing available. ",TBD,1,1,Hartford Healthcare,TBD,Dan Kinsella,Ashish Chhabra,TBD,"Analytics, analytics application, analytical platform, automation, intelligence platform, cost saving, spends, operations, spend classification, saving potentials, saving,  contract terms, benchmarks, tier pricing",Innowake.jpg,Data and AI,Operational Executive,Optimize Supply & Service Costs,AI Insights & Engagement
Management Intelligence Platform,Solution,"Integrated insights providing correlated intelligence across finance and operations for business unit, service line and Institute leaders. The data platform part of the Operational Analytics application at HHC has curated insights from over 10 core and ancillary applications, including 3rd party and publicly available data . AI models (developed in Python) are uses in several use cases including but not limited to workforce planning with attritions predictions, financial planning with forecasting models, improve user experience with defaults and recommendations for identifying analysis cohorts and SMART alert framework to minimize user click for targeted insights and intelligence. ",Healthcare,Cross domain,"Attritions predictions, financial planning with forecasting models, improve user experience with defaults and recommendations for identifying analysis cohorts and SMART alert framework to minimize user click for targeted insights and intelligence. ",AI,1,1,Hartford Healthcare,TBD,Dan Kinsella,Ashish Chhabra,TBD,"Automation, intelligence platform, finance, operations, data platform, operational analytics application, analytics, analytical platform, AI, artificial intelligence, AI models, artificial intelligence models, wokforce planning, financial planning, attrition, forecasting, forecasting models, user experience,  improve user experience, analysis cohorts, SMART alert framework, user clicks, attritions predictions, ",Process Bionics.jpg,Data and AI,Operational Executive,Optimize Supply & Service Costs,AI Insights & Engagement
